day,month,year,hour,VALOR_LECTURA,holiday
9,8,2023,21,0.0,False
9,8,2023,22,0.0,False
9,8,2023,23,0.0,False
10,8,2023,0,0.0,False
10,8,2023,1,0.0,False
10,8,2023,2,0.0,False
10,8,2023,3,0.0,False
10,8,2023,4,0.0,False
10,8,2023,5,0.0,False
10,8,2023,6,0.0,False
10,8,2023,7,0.0,False
10,8,2023,8,0.0,False
10,8,2023,9,0.0,False
10,8,2023,10,0.0,False
10,8,2023,11,0.0,False
10,8,2023,12,0.0,False
10,8,2023,13,0.0,False
10,8,2023,14,0.0,False
10,8,2023,15,0.0,False
10,8,2023,16,0.0,False
10,8,2023,17,0.0,False
10,8,2023,18,0.0,False
10,8,2023,19,0.0,False
10,8,2023,20,0.0,False
10,8,2023,21,0.0,False
10,8,2023,22,0.0,False
10,8,2023,23,0.0,False
11,8,2023,0,0.0,False
11,8,2023,1,0.0,False
11,8,2023,2,0.0,False
11,8,2023,3,0.0,False
11,8,2023,4,0.0,False
11,8,2023,5,0.0,False
11,8,2023,6,0.0,False
11,8,2023,7,0.0,False
11,8,2023,8,0.0,False
11,8,2023,9,0.0,False
11,8,2023,10,0.0,False
11,8,2023,11,0.0,False
11,8,2023,12,0.0,False
11,8,2023,13,0.0,False
11,8,2023,14,0.0,False
11,8,2023,15,0.0,False
11,8,2023,16,0.0,False
11,8,2023,17,0.0,False
11,8,2023,18,0.0,False
11,8,2023,19,0.0,False
11,8,2023,20,0.0,False
11,8,2023,21,0.0,False
11,8,2023,22,0.0,False
11,8,2023,23,0.0,False
12,8,2023,0,0.0,False
12,8,2023,1,0.0,False
12,8,2023,2,0.0,False
12,8,2023,3,0.0,False
12,8,2023,4,0.0,False
12,8,2023,5,0.0,False
12,8,2023,6,0.0,False
12,8,2023,7,0.0,False
12,8,2023,8,0.0,False
12,8,2023,9,0.0,False
12,8,2023,10,0.0,False
12,8,2023,11,0.0,False
12,8,2023,12,0.0,False
12,8,2023,13,0.0,False
12,8,2023,14,0.0,False
12,8,2023,15,0.0,False
12,8,2023,16,0.0,False
12,8,2023,17,0.0,False
12,8,2023,18,0.0,False
12,8,2023,19,0.0,False
12,8,2023,20,0.0,False
12,8,2023,21,0.0,False
12,8,2023,22,0.0,False
12,8,2023,23,0.0,False
13,8,2023,0,0.0,False
13,8,2023,1,0.0,False
13,8,2023,2,0.0,False
13,8,2023,3,0.0,False
13,8,2023,4,0.0,False
13,8,2023,5,0.0,False
13,8,2023,6,0.0,False
13,8,2023,7,0.0,False
13,8,2023,8,0.0,False
13,8,2023,9,0.0,False
13,8,2023,10,0.0,False
13,8,2023,11,0.0,False
13,8,2023,12,0.0,False
13,8,2023,13,0.0,False
13,8,2023,14,0.0,False
13,8,2023,15,0.0,False
13,8,2023,16,0.0,False
13,8,2023,17,0.0,False
13,8,2023,18,0.0,False
13,8,2023,19,0.0,False
13,8,2023,20,0.0,False
13,8,2023,21,0.0,False
13,8,2023,22,0.0,False
13,8,2023,23,0.0,False
14,8,2023,0,0.0,False
14,8,2023,1,0.0,False
14,8,2023,2,0.0,False
14,8,2023,3,0.0,False
14,8,2023,4,0.0,False
14,8,2023,5,0.0,False
14,8,2023,6,0.0,False
14,8,2023,7,0.0,False
14,8,2023,8,0.0,False
14,8,2023,9,0.0,False
14,8,2023,10,0.0,False
14,8,2023,11,0.0,False
14,8,2023,12,0.0,False
14,8,2023,13,0.0,False
14,8,2023,14,0.0,False
14,8,2023,15,0.0,False
14,8,2023,16,0.0,False
14,8,2023,17,0.0,False
14,8,2023,18,0.0,False
14,8,2023,19,0.0,False
14,8,2023,20,0.0,False
14,8,2023,21,0.0,False
14,8,2023,22,0.0,False
14,8,2023,23,0.0,False
15,8,2023,0,0.0,True
15,8,2023,1,0.0,True
15,8,2023,2,0.0,True
15,8,2023,3,0.0,True
15,8,2023,4,0.0,True
15,8,2023,5,0.0,True
15,8,2023,6,0.0,True
15,8,2023,7,0.0,True
15,8,2023,8,0.0,True
15,8,2023,9,0.0,True
15,8,2023,10,0.0,True
15,8,2023,11,0.0,True
15,8,2023,12,0.0,True
15,8,2023,13,0.0,True
15,8,2023,14,0.0,True
15,8,2023,15,0.0,True
15,8,2023,16,0.0,True
15,8,2023,17,0.0,True
15,8,2023,18,0.0,True
15,8,2023,19,0.0,True
15,8,2023,20,0.0,True
15,8,2023,21,0.0,True
15,8,2023,22,0.0,True
15,8,2023,23,0.0,True
16,8,2023,0,0.0,False
16,8,2023,1,0.0,False
16,8,2023,2,0.0,False
16,8,2023,3,0.0,False
16,8,2023,4,0.0,False
16,8,2023,5,0.0,False
16,8,2023,6,0.0,False
16,8,2023,7,0.0,False
16,8,2023,8,0.0,False
16,8,2023,9,0.0,False
16,8,2023,10,0.0,False
16,8,2023,11,0.0,False
16,8,2023,12,0.0,False
16,8,2023,13,0.0,False
16,8,2023,14,0.0,False
16,8,2023,15,0.0,False
16,8,2023,16,0.0,False
16,8,2023,17,0.0,False
16,8,2023,18,0.0,False
16,8,2023,19,0.0,False
16,8,2023,20,0.0,False
16,8,2023,21,0.0,False
16,8,2023,22,0.0,False
16,8,2023,23,0.0,False
17,8,2023,0,0.0,False
17,8,2023,1,0.0,False
17,8,2023,2,0.0,False
17,8,2023,3,0.0,False
17,8,2023,4,0.0,False
17,8,2023,5,0.0,False
17,8,2023,6,0.0,False
17,8,2023,7,0.0,False
17,8,2023,8,0.0,False
17,8,2023,9,0.0,False
17,8,2023,10,0.0,False
17,8,2023,11,0.0,False
17,8,2023,12,0.0,False
17,8,2023,13,0.0,False
17,8,2023,14,0.0,False
17,8,2023,15,0.0,False
17,8,2023,16,0.0,False
17,8,2023,17,0.0,False
17,8,2023,18,0.0,False
17,8,2023,19,0.0,False
17,8,2023,20,0.0,False
17,8,2023,21,0.0,False
17,8,2023,22,0.0,False
17,8,2023,23,0.0,False
18,8,2023,0,0.0,False
18,8,2023,1,0.0,False
18,8,2023,2,0.0,False
18,8,2023,3,0.0,False
18,8,2023,4,0.0,False
18,8,2023,5,0.0,False
18,8,2023,6,0.0,False
18,8,2023,7,0.0,False
18,8,2023,8,0.0,False
18,8,2023,9,0.0,False
18,8,2023,10,0.0,False
18,8,2023,11,0.0,False
18,8,2023,12,0.0,False
18,8,2023,13,0.0,False
18,8,2023,14,0.0,False
18,8,2023,15,0.0,False
18,8,2023,16,0.0,False
18,8,2023,17,0.0,False
18,8,2023,18,0.0,False
18,8,2023,19,0.0,False
18,8,2023,20,0.0,False
18,8,2023,21,0.0,False
18,8,2023,22,0.0,False
18,8,2023,23,0.0,False
19,8,2023,0,0.0,False
19,8,2023,1,0.0,False
19,8,2023,2,0.0,False
19,8,2023,3,0.0,False
